Mods count: 227
 
jar name                                                                            | mod id (isMCreator)                    | mixin configs
crafting-on-a-stick-1.20.1-1.1.5.jar                                                | crafting_on_a_stick                    | 
craftingtweaks-forge-1.20.1-18.2.6.jar                                              | craftingtweaks                         | craftingtweaks.mixins.json
CrashAssistant-forge-1.19-1.20.1-1.9.15.jar                                         | crash_assistant                        | 
    /META-INF/jarjar/app.jar                                                        |                                        | 
    /META-INF/jarjar/crash_assistant-forge.jar                                      | crash_assistant                        | crash_assistant.mixins.json, crash_assistant-forge.mixins.json
crashutilities-8.1.4.jar                                                            | crashutilities                         | 
create-1.20.1-6.0.6.jar                                                             | create                                 | create.mixins.json
    /META-INF/jarjar/Ponder-Forge-1.20.1-1.0.80.jar                                 | ponder                                 | ponder-common.mixins.json, ponder.mixins.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.3.jar                                    |                                        | 
    /META-INF/jarjar/flywheel-forge-1.20.1-1.0.4.jar                                | flywheel                               | flywheel.impl.mixins.json, flywheel.backend.mixins.json
create-stuff-additions1.20.1_v2.1.0.jar                                             | create_sa (MCreator mod)               | mixins.create_sa.json, mixins.create_sa.refmap.json
create_connected-1.1.7-mc1.20.1-all.jar                                             | create_connected                       | create_connected.mixins.json
create_enchantment_industry-1.3.3-for-create-6.0.6.jar                              | create_enchantment_industry            | create_enchantment_industry.mixins.json
create_recycle_1.0.2_forge_1.20.1.jar                                               | create_crush_everything (MCreator mod) | 
create_ultimate_factory-2.1.0-forge-1.20.1.jar                                      | create_ultimate_factory                | 
createaddition-1.20.1-1.3.2.jar                                                     | createaddition                         | createaddition.mixins.json
createappliedkinetics-1.5.1-1.20.1.jar                                              | createappliedkinetics                  | createappliedkinetics.mixins.json
createenderlink-1.4.0+mc1.20.1-forge.jar                                            | createenderlink                        | createenderlink.mixins.json
creategoggles-1.20.1-6.1.0-[FORGE].jar                                              | creategoggles                          | creategoggles-common.mixins.json, creategoggles.mixins.json
createliquidfuel-2.1.1-1.20.1.jar                                                   | createliquidfuel                       | mixins.createliquidfuel.refmap.json, createliquidfuel.mixins.json
cryonicconfig-forge-1.0.0+mc1.20.1.jar                                              | cryonicconfig                          | cryonicconfig.mixins.json
CTM-1.20.1-1.1.10.jar                                                               | ctm                                    | ctm.mixins.json, mixin.refmap.json
Cucumber-1.20.1-7.0.15.jar                                                          | cucumber                               | cucumber.mixins.json
cupboard-1.20.1-2.7.jar                                                             | cupboard                               | cupboard.mixins.json
curios-forge-5.14.1+1.20.1.jar                                                      | curios                                 | curios.mixins.json
CyclopsCore-1.20.1-1.20.1.jar                                                       | cyclopscore                            | 
Draconic-Additions-1.20.1-2.4.1.5-universal.jar                                     | draconicadditions                      | mixins.draconicadditions.json
Draconic-Evolution-1.20.1-3.1.2.621-universal.jar                                   | draconicevolution                      | mixins.draconicevolution.json, mixins.draconicevolution.refmap.json
dynamicvillage-v0.4-1.20.1.jar                                                      | dynamicvillage                         | 
easy-piglins-forge-1.20.1-1.0.13.jar                                                | easy_piglins                           | 
easy-villagers-forge-1.20.1-1.1.35.jar                                              | easy_villagers                         | 
EasyAnvils-v8.0.2-1.20.1-Forge.jar                                                  | easyanvils                             | easyanvils.common.mixins.json, easyanvils.forge.mixins.json
EasyMagic-v8.0.1-1.20.1-Forge.jar                                                   | easymagic                              | easymagic.common.mixins.json
EasyShulkerBoxes-v8.0.2-1.20.1-Forge.jar                                            | easyshulkerboxes                       | easyshulkerboxes.common.mixins.json
    /META-INF/jarjar/puzzlesapi-forge-8.1.6.jar                                     | puzzlesapi                             | puzzlesapi.common.mixins.json
        /META-INF/jarjar/puzzlesaccessapi-forge-8.0.9.jar                           | puzzlesaccessapi                       | 
effortless-1.20.1-3.4.0.jar                                                         | effortless                             | effortless.fabric.mixins.json
elevatorid-1.20.1-1.9.1-forge.jar                                                   | elevatorid                             | 
elytraslot-forge-6.4.4+1.20.1.jar                                                   | elytraslot                             | elytraslot-forge-integrations.mixins.json, elytraslot-integrations.mixins.json
embeddium-0.3.31+mc1.20.1.jar                                                       | embeddium                              | embeddium.mixins.json
EnchantmentDescriptions-Forge-1.20.1-17.1.19.jar                                    | enchdesc                               | 
EnderIO-1.20.1-6.2.15-beta-all.jar                                                  | enderio                                | mixins.enderio.json, mixins.enderio-machines.json, mixins.enderio-machines.refmap.json, mixins.enderio.refmap.json
    /META-INF/jarjar/GraphLib3-3.0.7.jar                                            |                                        | 
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |                                        | 
    /META-INF/jarjar/checker-qual-3.33.0.jar                                        |                                        | 
    /META-INF/jarjar/error_prone_annotations-2.18.0.jar                             |                                        | 
    /META-INF/jarjar/failureaccess-1.0.1.jar                                        |                                        | 
    /META-INF/jarjar/guava-32.1.2-jre.jar                                           |                                        | 
    /META-INF/jarjar/jsr305-3.0.2.jar                                               |                                        | 
    /META-INF/jarjar/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar |                                        | 
EnderStorage-1.20.1-2.11.0.188-universal.jar                                        | enderstorage                           | 
endertanks-forge-1.20.1-1.5.jar                                                     | endertanks                             | mixins.endertanks.refmap.json, mixins.endertanks.json, mixins.shetiphiancore.json
entityculling-forge-1.8.2-mc1.20.1.jar                                              | entityculling                          | entityculling.mixins.json, entityculling.refmap.mixins.json
    /META-INF/jars/TRender-1.0.5-1.20.1-forge-SNAPSHOT.jar                          | trender                                | trender.mixins.json, trender.refmap.mixins.json
    /META-INF/jars/TRansition-1.0.3-1.20.1-forge-SNAPSHOT.jar                       | transition                             | transition.mixins.json, transition.refmap.mixins.json
Essential_1-3-9-1_forge_1-20-1.jar                                                  | essential-container                    | 
excompressum-forge-1.20.1-20.1.9.jar                                                | excompressum                           | excompressum.mixins.json
exdeorum-1.46.jar                                                                   | exdeorum                               | 
exmachinis-1.20.1-3.0.0.jar                                                         | exmachinis                             | 
exmachinis-deorum-1.20.1-3.0.3.jar                                                  | exmachinis                             | 
ExtendedAE-1.20-1.4.6-forge.jar                                                     | expatternprovider                      | mixins.epp.refmap.json, mixins.epp.json
ExtremeReactors2-1.20.1-2.0.94.jar                                                  | bigreactors                            | 
FastFurnace-1.20.1-8.0.2.jar                                                        | fastfurnace                            | fastfurnace.mixins.json
FastLeafDecay-32.jar                                                                | fastleafdecay                          | 
FastSuite-1.20.1-5.1.0.jar                                                          | fastsuite                              | fastsuite.mixins.json
FastWorkbench-1.20.1-8.0.4.jar                                                      | fastbench                              | fastbench.mixins.json
ferritecore-6.0.1-forge.jar                                                         | ferritecore                            | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json
findme-3.2.1-forge.jar                                                              | findme                                 | findme-common.mixins.json
FluxNetworks-1.20.1-7.2.1.15.jar                                                    | fluxnetworks                           | 
ForgeEndertech-1.20.1-11.1.9.0-build.1584.jar                                       | forgeendertech                         | 
forgivingvoid-forge-1.20-10.0.1.jar                                                 | forgivingvoid                          | forgivingvoid.mixins.json
framework-forge-1.20.1-0.7.15.jar                                                   | framework                              | 
ftb-chunks-forge-2001.3.6.jar                                                       | ftbchunks                              | ftbchunks-common.mixins.json
ftb-library-forge-2001.2.10.jar                                                     | ftblibrary                             | ftblibrary-common.mixins.json
ftb-quests-forge-2001.4.14.jar                                                      | ftbquests                              | 
ftb-teams-forge-2001.3.1.jar                                                        | ftbteams                               | 
ftb-ultimine-forge-2001.1.7.jar                                                     | ftbultimine                            | ftbultimine-common.mixins.json
fuelgoeshere-1.20.0-1.0.1.jar                                                       | fuelgoeshere                           | fuelgoeshere.mixin.json
fusion-1.2.11a-forge-mc1.20.1.jar                                                   | fusion                                 | fusion.mixins.json, fusion.mixins.refmap.json
gcyr-1.20.1-0.2.7.jar                                                               | gcyr                                   | gcyr.mixins.json
geckolib-forge-1.20.1-4.8.2.jar                                                     | geckolib                               | geckolib.mixins.json
    /META-INF/jarjar/mclib-20.jar                                                   |                                        | 
generatorgalore-1.20.1-1.2.4.jar                                                    | generatorgalore                        | 
Glodium-1.20-1.5-forge.jar                                                          | glodium                                | 
GravitationalModulatingAdditionalUnit-1.20.1-3.5.jar                                | gravitationalmodulatingunittweaks      | gmut.mixin.common.json, gmut.mixin.client.json, gmut.mixin.refmap.json
gtceu-1.20.1-7.2.0.jar                                                              | gtceu                                  | gtceu.mixins.json, assets/gtceu/blockstates/reaction_safe_mixing_casing.json, assets/gtceu/models/block/reaction_safe_mixing_casing.json, assets/gtceu/models/item/reaction_safe_mixing_casing.json
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |                                        | 
    /META-INF/jarjar/configuration-forge-1.20.1-2.2.0.jar                           | configuration                          | configuration.mixins.json
    /META-INF/jarjar/ldlib-forge-1.20.1-1.0.40.b.jar                                | ldlib                                  | ldlib-common.mixins.json, ldlib.mixins.json
guideme-20.1.13.jar                                                                 | guideme                                | 
ImmersiveEngineering-1.20.1-10.2.0-183.jar                                          | immersiveengineering                   | immersiveengineering.mixins.json
industrial-foregoing-1.20.1-3.5.20.jar                                              | industrialforegoing                    | 
IntegratedCrafting-1.20.1-1.2.3.jar                                                 | integratedcrafting                     | 
IntegratedDynamics-1.20.1-1.27.6.jar                                                | integrateddynamics                     | mixins.integrateddynamics.json, mixins.integrateddynamics.refmap.json
IntegratedTerminals-1.20.1-1.6.10.jar                                               | integratedterminals                    | 
IntegratedTunnels-1.20.1-1.8.42.jar                                                 | integratedtunnels                      | 
ironfurnaces-1.20.1-4.1.6.jar                                                       | ironfurnaces                           | 
IronJetpacks-1.20.1-7.0.9.jar                                                       | ironjetpacks                           | 
itemcollectors-1.1.11-forge-mc1.20.2.jar                                            | itemcollectors                         | 
Jade-1.20.1-Forge-11.13.2.jar                                                       | jade                                   | jade.mixins.json
JadeAddons-1.20.1-Forge-5.5.0.jar                                                   | jadeaddons                             | jadeaddons.mixins.json
jei-1.20.1-forge-15.20.0.113.jar                                                    | jei                                    | 
jeimultiblocks-1.20.1-1.0.4.jar                                                     | jeimultiblocks                         | 
journeymap-1.20.1-5.10.3-forge.jar                                                  | journeymap                             | journeymap.mixins.json
JustEnoughGuns-0.13.2-1.20.1.jar                                                    | jeg                                    | jeg.mixins.json
JustEnoughMekanismMultiblocks-1.20.1-4.12.jar                                       | jei_mekanism_multiblocks               | jei_mekanism_multiblocks.mixin.common.json, jei_mekanism_multiblocks.mixin.client.json, jei_mekanism_multiblocks.mixin.refmap.json
JustEnoughProfessions-forge-1.20.1-3.0.1.jar                                        | justenoughprofessions                  | 
JustEnoughResources-1.20.1-1.4.0.247.jar                                            | jeresources                            | 
keybindspurger-1.20.1-forge-1.3.3.jar                                               | keybindspurger                         | keybindspurger.mixins.json
kleeslabs-forge-1.20.1-15.0.9.jar                                                   | kleeslabs                              | kleeslabs.mixins.json
konkrete_forge_1.8.0_MC_1.20-1.20.1.jar                                             | konkrete                               | konkrete.mixin-refmap.json, konkrete.mixin.json
kotlinforforge-4.11.0-all.jar                                                       |                                        | 
    /META-INF/jarjar/kfflang-4.11.0.jar                                             |                                        | 
    /META-INF/jarjar/kfflib-4.11.0.jar                                              |                                        | 
    /META-INF/jarjar/kffmod-4.11.0.jar                                              | kotlinforforge                         | 
kubejs-create-forge-2001.3.0-build.8.jar                                            | kubejs_create                          | 
kubejs-forge-2001.6.5-build.16.jar                                                  | kubejs                                 | kubejs-common.mixins.json, kubejs-forge.mixins.json
LibX-1.20.1-5.0.14.jar                                                              | libx                                   | 
lmft-1.0.4+1.20.1-forge.jar                                                         | lmft                                   | lmft.mixins.json, lmft-common.mixins.json
lootjs-forge-1.20.1-2.13.0.jar                                                      | lootjs                                 | lootjs-forge.mixins.json, lootjs-common.mixins.json
lootr-forge-1.20-0.7.35.93.jar                                                      | lootr                                  | lootr.mixins.json
Mantle-1.20.1-1.11.79.jar                                                           | mantle                                 | 
mcjtylib-1.20-8.0.7.jar                                                             | mcjtylib                               | 
megacells-forge-2.4.6-1.20.1.jar                                                    | megacells                              | megacells.forge.mixins.json, megacells.mixins.json
Mekanism-1.20.1-10.4.16.80.jar                                                      | mekanism                               | 
MekanismAdditions-1.20.1-10.4.16.80.jar                                             | mekanismadditions                      | 
MekanismGenerators-1.20.1-10.4.16.80.jar                                            | mekanismgenerators                     | 
MekanismTools-1.20.1-10.4.16.80.jar                                                 | mekanismtools                          | 
MekanismWeapons-1.20.1-3.0.jar                                                      | mekaweapons                            | mekaweapons.mixins.json
memorysettings-1.20.1-5.9.jar                                                       | memorysettings                         | memorysettings.mixins.json
merequester-forge-1.20.1-1.1.5.jar                                                  | merequester                            | merequester.mixins.json
mob_grinding_utils-1.20.1-1.1.0.jar                                                 | mob_grinding_utils                     | 
modernfix-forge-5.24.4+mc1.20.1.jar                                                 | modernfix                              | modernfix-common.mixins.json, modernfix-forge.mixins.json
moonlight-1.20-2.16.13-forge.jar                                                    | moonlight                              | moonlight.mixins.json, moonlight-common.mixins.json
moredragoneggs-4.0.jar                                                              | moredragoneggs                         | mixins.moredragoneggs.json, mixins.moredragoneggs.refmap.json
moreoverlays-1.24.1-mc1.20.1-forge.jar                                              | moreoverlays                           | moreoverlays.mixin.json, moreoverlays.mixin-refmap.json
MouseTweaks-forge-mc1.20.1-2.25.1.jar                                               | mousetweaks                            | mousetweaks-fabric.mixins.json, mousetweaks.mixins.refmap.json, mousetweaks.mixins.json
netherportalfix-forge-1.20-13.0.1.jar                                               | netherportalfix                        | netherportalfix.mixins.json
Not Enough Recipe Book-FORGE-0.4.1+1.20.1.jar                                       | nerb                                   | nerb-common.mixins.json
notenoughanimations-forge-1.10.2-mc1.20.1.jar                                       | notenoughanimations                    | notenoughanimations.refmap.mixins.json, notenoughanimations.mixins.json
    /META-INF/jars/TRansition-1.0.4-1.20.1-forge-SNAPSHOT.jar                       | transition                             | transition.mixins.json, transition.refmap.mixins.json
    /META-INF/jars/TRender-1.0.6-1.20.1-forge-SNAPSHOT.jar                          | trender                                | trender.mixins.json, trender.refmap.mixins.json
notenoughcrashes-4.4.9+1.20.1-forge.jar                                             | notenoughcrashes                       | notenoughcrashes.forge.mixins.json, notenoughcrashes.mixins.json
OctoLib-FORGE-0.5.0.1+1.20.1.jar                                                    | octolib                                | octolib-common.mixins.json
    /META-INF/jars/snakeyaml-2.2.jar                                                |                                        | 
oculus-mc1.20.1-1.8.0.jar                                                           | oculus                                 | mixins.oculus.compat.sodium.json, sodiumCompatibility-oculus-mixins-refmap.json, mixins.oculus.integrationtest.json, mixins.oculus.compat.dh.json, mixins.oculus.vertexformat.json, mixins.oculus.fixes.maxfpscrash.json, oculus-batched-entity-rendering.mixins.json, mixins.oculus.compat.indium.json, mixins.oculus.json, oculus-mixins-refmap.json, mixins.oculus.compat.indigo.json, mixins.oculus.bettermipmaps.json, mixins.oculus.compat.pixelmon.json, mixins.oculus.fantastic.json
    /META-INF/jars/jcpp-1.4.14.jar                                                  |                                        | 
Patchouli-1.20.1-84.1-FORGE.jar                                                     | patchouli                              | patchouli_xplat.mixins.json
Pehkui-3.8.2+1.20.1-forge.jar                                                       | pehkui                                 | pehkui.mixins.json
pipe_connector-1.20.1-0.3.9.jar                                                     | pipe_connector                         | 
pipez-forge-1.20.1-1.2.26.jar                                                       | pipez                                  | 
Placebo-1.20.1-8.6.3.jar                                                            | placebo                                | placebo.mixins.json
pneumaticcraft-repressurized-6.0.20+mc1.20.1.jar                                    | pneumaticcraft                         | mixins.pneumaticcraft.json, mixins.pneumaticcraft.refmap.json
Powah-5.0.11.jar                                                                    | powah                                  | 
PuzzlesLib-v8.1.33-1.20.1-Forge.jar                                                 | puzzleslib                             | puzzleslib.common.mixins.json, puzzleslib.forge.mixins.json
    /META-INF/jarjar/puzzlesaccessapi-forge-20.1.1.jar                              | puzzlesaccessapi                       | puzzlesaccessapi.forge.mixins.json, puzzlesaccessapi.common.mixins.json
rechiseled-1.1.6-forge-mc1.20.jar                                                   | rechiseled                             | 
rechiseled_chipped-1.2.1-1.20.1.jar                                                 | rechiseled_chipped                     | rechiseled_chipped.mixins.json
resourcefullib-forge-1.20.1-2.1.29.jar                                              | resourcefullib                         | 
    /META-INF/jars/yabn-1.0.3.jar                                                   | com_teamresourceful_yabn               | 
    /META-INF/jars/bytecodecs-1.0.2.jar                                             | com_teamresourceful_bytecodecs         | 
rftoolsbase-1.20-5.0.6.jar                                                          | rftoolsbase                            | 
rhino-forge-2001.2.3-build.10.jar                                                   | rhino                                  | rhino-common.mixins.json
Searchables-forge-1.20.1-1.0.3.jar                                                  | searchables                            | searchables.forge.mixins.json, searchables.mixins.json
servercore-forge-1.5.2+1.20.1.jar                                                   | servercore                             | servercore.common.mixins.json
    /META-INF/jars/dazzleconf-core-1.3.0-M2.jar                                     |                                        | 
    /META-INF/jars/dazzleconf-ext-snakeyaml-1.3.0-M2.jar                            |                                        | 
    /META-INF/jars/snakeyaml-2.2.jar                                                |                                        | 
shetiphiancore-forge-1.20.1-1.5.jar                                                 | shetiphiancore                         | mixins.shetiphiancore.refmap.json, mixins.shetiphiancore.json
Shrink-1.20.1-1.4.5.jar                                                             | shrink                                 | shrink.mixins.json
silent-lib-1.20.1-8.0.0.jar                                                         | silentlib                              | 
SimpleDiscordRichPresence-forge-4.0.3-build.40+mc1.20.1.jar                         | sdrp                                   | sdrp.mixins.json, sdrp-common.mixins.json
    /META-INF/jars/DiscordIPC-a8d6631cc9.jar                                        |                                        | 
    /META-INF/jars/json-20210307.jar                                                |                                        | 
    /META-INF/jars/junixsocket-common-2.6.2.jar                                     |                                        | 
    /META-INF/jars/junixsocket-native-common-2.6.2.jar                              |                                        | 
skyblock_resources-1.3.0-forge-1.20.1.jar                                           | skyblock_resources                     | 
SkyblockBuilder-1.20.1-5.1.27.jar                                                   | skyblockbuilder                        | skyblockbuilder.mixins.json
SkyGUIs-1.20.1-3.0.16.jar                                                           | skyguis                                | 
sodiumdynamiclights-forge-1.0.10-1.20.1.jar                                         | sodiumdynamiclights                    | mixins.sodiumdynamiclights.json
    /META-INF/jars/fabric-api-base-0.4.31+ef105b4977.jar                            | fabric_api_base                        | fabric-api-base.init.mixins.json
sodiumextras-forge-1.0.7-1.20.1.jar                                                 | sodiumextras                           | mixins.sodiumextras.json
sodiumoptionsapi-forge-1.0.10-1.20.1.jar                                            | sodiumoptionsapi                       | mixins.sodiumoptionsapi.json
    /META-INF/jars/fabric-api-base-0.4.31+ef105b4977.jar                            | fabric_api_base                        | fabric-api-base.init.mixins.json
sophisticatedbackpacks-1.20.1-3.24.6.1366.jar                                       | sophisticatedbackpacks                 | 
sophisticatedcore-1.20.1-1.2.93.1164.jar                                            | sophisticatedcore                      | 
sophisticatedstorage-1.20.1-1.4.8.1311.jar                                          | sophisticatedstorage                   | 
SpikySpikes-v8.0.3-1.20.1-Forge.jar                                                 | spikyspikes                            | spikyspikes.common.mixins.json
steamadditions-1.5.1.jar                                                            | steamadditions                         | 
storage_allthemodium_upgrade-2.1.jar                                                | storage_allthemodium_upgrade           | storage_allthemodium_upgrade.mixins.json
StorageDrawers-forge-1.20.1-12.14.3.jar                                             | storagedrawers                         | 
Super Factory Manager (SFM)-MC1.20.1-4.26.0.jar                                     | sfm                                    | sfm.mixins.json
supermartijn642configlib-1.1.8-forge-mc1.20.jar                                     | supermartijn642configlib               | 
supermartijn642corelib-1.1.18-forge-mc1.20.1.jar                                    | supermartijn642corelib                 | supermartijn642corelib.mixins.refmap.json, supermartijn642corelib.mixins.json
supplementaries-1.20-3.1.39.jar                                                     | supplementaries                        | supplementaries-common.mixins.json, supplementaries.mixins.json
TConstruct-1.20.1-3.10.2.92.jar                                                     | tconstruct                             | 
time-in-a-bottle-4.0.4-mc1.20.1.jar                                                 | tiab                                   | 
titanium-1.20.1-3.8.32.jar                                                          | titanium                               | 
Too Many Entities 1.20.1 Forge v1.1.1.jar                                           | too_many_entities                      | too_many_entities.mixins.json, too_many_entities-forge.mixins.json
toofast-1.20-0.4.3.5.jar                                                            | toofast                                | toofast.mixins.json
torchmaster-20.1.9.jar                                                              | torchmaster                            | 
Translocators-1.20.1-2.6.0.86-universal.jar                                         | translocators                          | 
trashcans-1.0.18b-forge-mc1.20.jar                                                  | trashcans                              | 
trashslot-forge-1.20-15.1.2.jar                                                     | trashslot                              | trashslot.mixins.json
voicechat-forge-1.20.1-2.5.35.jar                                                   | voicechat                              | 
watut-forge-1.20.1-1.2.3.jar                                                        | watut                                  | watut_fabric.mixins.json, watut.mixins.json
waystones-forge-1.20.1-14.1.17.jar                                                  | waystones                              | waystones.mixins.json
WitherSkeletonTweaks-1.20.1-9.1.0.jar                                               | wstweaks                               | wstweaks.mixins.json
xnet-1.20-6.1.6.jar                                                                 | xnet                                   | 
XyCraft Core-0.6.22.jar                                                             | xycraft_core                           | xycraft_core.mixin.json
XyCraft Machines-0.6.22.jar                                                         | xycraft_machines                       | 
XyCraft Override-0.6.22.jar                                                         | xycraft_override                       | 
XyCraft World-0.6.22.jar                                                            | xycraft_world                          | 
ZeroCore2-1.20.1-2.1.47.jar                                                         | zerocore                               | 
